Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Nouvelle-Aquitaine;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;16334;Saint-Martial;13;0;0;26;2;22;5;16;4;0;0;4;4;97
;16335;Saint-Martin-du-Clocher;9;1;0;29;2;22;7;15;4;0;0;3;6;99
;16336;Saint-Mary;26;0;0;63;3;43;18;42;16;0;0;13;9;234
;16337;Saint-Maurice-des-Lions;39;0;0;172;21;145;63;94;38;1;0;20;30;623
;16338;Saint-Médard;27;0;0;56;10;39;12;18;5;0;0;3;7;178
;16339;Val-d'Auge;46;2;0;147;15;84;39;78;19;0;0;28;32;491
;16340;Saint-Même-les-Carrières;75;4;0;203;35;148;61;98;38;2;0;24;38;727
;16341;Saint-Michel;335;11;1;409;114;349;176;201;56;1;0;37;43;1733
;16342;Saint-Palais-du-Né;27;1;1;62;9;35;8;27;5;1;0;11;7;195
;16343;Saint-Preuil;20;1;0;61;3;41;9;24;4;0;0;3;14;181
;16345;Saint-Quentin-sur-Charente;14;0;0;39;5;25;9;19;5;1;0;4;11;133
;16346;Saint-Quentin-de-Chalais;21;0;0;44;7;32;14;20;13;0;0;8;8;166
;16347;Saint-Romain;23;1;1;79;13;67;41;45;10;0;0;14;11;305
;16348;Saint-Saturnin;162;4;0;316;39;201;74;91;29;5;0;26;35;983
;16349;Sainte-Sévère;45;2;0;126;13;53;30;43;20;0;0;10;20;364
;16350;Saint-Séverin;69;0;1;120;17;97;38;65;18;1;0;20;16;463
;16351;Saint-Simeux;58;0;0;114;7;78;24;59;16;2;0;10;14;382
;16352;Saint-Simon;14;0;0;35;5;31;17;24;9;0;0;4;4;143
;16353;Saint-Sornin;65;1;1;142;26;111;43;77;27;1;0;21;28;544
;16354;Sainte-Souline;4;1;0;18;4;15;5;9;5;0;0;4;3;69
;16355;Saint-Sulpice-de-Cognac;113;3;1;237;31;163;64;79;25;1;0;19;31;767
;16356;Saint-Sulpice-de-Ruffec;5;0;0;4;2;3;1;7;0;0;0;1;2;25
;16357;Saint-Vallier;11;0;0;14;1;14;5;12;5;0;0;7;1;71
;16358;Saint-Yrieix-sur-Charente;1440;17;6;1492;326;843;426;453;111;16;2;82;196;5410
;16359;Salles-d'Angles;94;4;2;264;40;135;46;87;19;2;0;14;41;748
;16360;Salles-de-Barbezieux;30;0;0;98;8;68;23;32;10;0;0;12;10;292
;16361;Salles-de-Villefagnan;16;0;0;50;8;45;15;32;14;0;0;8;12;201
;16362;Salles-Lavalette;21;1;0;62;14;56;20;31;7;0;0;9;14;236
;16363;Saulgond;27;1;1;97;12;60;26;39;15;0;0;11;12;301
;16364;Sauvagnac;1;0;0;9;1;8;2;9;4;0;0;1;5;40
;16365;Sauvignac;6;1;0;20;1;10;2;8;6;0;0;8;5;67
