Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Île-de-France;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;77195;Fouju;88;2;1;120;31;59;24;30;9;5;1;3;13;386
;77196;Fresnes-sur-Marne;136;0;0;186;41;95;30;45;9;4;0;2;14;564
;77197;Frétoy;6;2;0;34;2;19;8;13;2;1;0;3;2;92
;77198;Fromont;22;0;1;43;6;32;13;16;4;0;0;5;2;144
;77199;Fublaines;169;3;4;200;54;133;84;68;20;3;0;6;18;761
;77200;Garentreville;11;0;0;25;5;12;7;6;3;0;0;1;0;70
;77201;Gastins;54;5;0;136;18;97;35;47;13;0;0;8;17;431
;77202;La Genevraye;90;1;2;156;33;98;55;51;18;1;2;8;13;528
;77203;Germigny-l'Évêque;223;2;1;257;83;167;82;86;13;3;2;6;48;974
;77204;Germigny-sous-Coulombs;12;0;0;38;5;24;7;19;4;0;0;4;3;116
;77205;Gesvres-le-Chapitre;24;3;0;29;4;13;8;7;2;0;0;1;1;92
;77206;Giremoutiers;26;0;0;27;12;22;7;13;9;2;0;0;10;128
;77207;Gironville;8;1;0;28;7;25;12;12;5;0;0;4;6;109
;77208;Gouaix;133;5;0;202;67;181;97;107;42;0;2;19;36;891
;77209;Gouvernes;237;2;5;178;75;109;78;70;7;7;0;7;34;808
;77210;La Grande-Paroisse;330;7;0;433;114;331;145;205;52;4;0;22;53;1695
;77211;Grandpuits-Bailly-Carrois;101;5;1;187;30;135;63;82;33;0;0;12;25;674
;77212;Gravon;16;0;0;26;6;24;15;21;9;0;0;2;4;123
;77214;Gressy;214;2;1;141;55;80;61;31;5;0;0;3;22;615
;77215;Gretz-Armainvilliers;960;17;14;1184;301;760;461;485;110;17;1;68;125;4504
;77216;Grez-sur-Loing;168;9;0;250;56;160;72;106;23;3;1;17;34;901
;77217;Grisy-Suisnes;415;6;5;472;133;299;114;128;27;3;0;8;55;1665
;77218;Grisy-sur-Seine;7;0;0;25;3;12;3;8;4;0;0;2;1;65
;77219;Guérard;339;5;3;475;102;316;118;150;34;8;0;21;48;1619
;77220;Guercheville;19;0;0;58;15;29;17;22;8;1;0;7;9;186
;77221;Guermantes;289;3;7;190;76;117;65;38;12;5;0;6;15;825
;77222;Guignes;475;10;2;682;153;470;208;202;63;4;1;18;55;2343
;77223;Gurcy-le-Châtel;52;1;0;101;13;73;15;36;10;1;0;4;9;315
;77224;Hautefeuille;37;1;0;79;8;24;11;11;5;2;0;0;4;183
;77225;La Haute-Maison;42;1;1;51;10;31;10;21;4;0;1;2;3;177
;77226;Héricy;380;9;5;438;125;286;173;121;29;6;3;25;57;1657
;77227;Hermé;58;0;0;115;12;87;38;53;12;0;0;9;11;395
;77228;Hondevilliers;21;0;0;35;8;37;24;22;8;1;1;1;3;161
;77229;La Houssaye-en-Brie;195;5;5;312;70;205;113;133;23;3;1;9;36;1109
;77230;Ichy;17;0;0;33;6;22;12;12;6;0;0;4;11;124
;77231;Isles-les-Meldeuses;82;3;1;97;32;85;44;51;6;1;0;11;21;434
;77232;Isles-lès-Villenoy;246;2;0;253;62;113;68;55;12;4;0;9;22;846
;77233;Iverny;72;2;1;95;21;66;29;37;14;0;0;3;13;353
;77234;Jablines;101;4;3;107;33;84;39;35;11;1;0;4;19;442
;77235;Jaignes;39;0;0;55;11;39;18;35;5;1;0;4;12;220
;77236;Jaulnes;29;0;1;89;15;40;13;34;12;0;0;8;2;243
;77237;Jossigny;97;2;1;131;24;58;46;43;9;2;0;2;9;425
;77238;Jouarre;357;4;4;527;124;404;197;241;81;10;2;33;71;2055
;77239;Jouy-le-Châtel;102;2;4;305;35;180;87;121;37;3;0;22;41;940
;77240;Jouy-sur-Morin;180;5;2;349;68;258;131;159;40;3;1;22;62;1281
;77241;Juilly;200;7;2;341;69;201;98;116;32;0;0;3;18;1088
;77242;Jutigny;64;1;0;75;16;70;29;44;20;0;0;7;16;343
;77243;Lagny-sur-Marne;2906;34;30;2790;1061;1811;1171;858;182;40;3;102;283;11272
;77244;Larchant;94;5;0;147;38;96;37;48;15;0;0;8;13;499
;77245;Laval-en-Brie;50;4;1;78;16;52;25;27;8;1;0;6;7;275
;77246;Léchelle;55;2;1;102;21;80;24;47;14;4;0;9;13;372
;77247;Lescherolles;40;0;0;85;14;69;31;37;5;0;0;3;17;301
;77248;Lesches;114;5;4;122;35;63;43;28;14;4;0;6;15;455
;77249;Lésigny;1443;12;13;1178;391;694;414;261;45;25;4;21;113;4614
;77250;Leudon-en-Brie;11;0;1;39;6;22;10;11;4;1;0;2;3;111
;77251;Lieusaint;1765;24;20;2106;440;1211;448;542;108;17;2;37;75;6796
;77252;Limoges-Fourches;77;3;3;158;20;63;25;24;6;2;0;3;9;393
;77253;Lissy;30;0;1;61;7;34;14;13;3;0;0;2;8;174
;77254;Liverdy-en-Brie;184;2;2;229;59;169;56;107;13;4;0;7;29;861
;77255;Livry-sur-Seine;387;3;2;319;98;218;119;137;33;5;0;15;34;1371
;77256;Lizines;12;0;0;23;4;25;12;10;1;0;0;1;6;95
;77257;Lizy-sur-Ourcq;229;6;1;445;79;325;138;219;73;0;0;21;45;1581
;77258;Lognes;1512;26;16;1727;540;1109;545;583;135;18;0;56;83;6349
;77259;Longperrier;290;6;3;378;85;292;113;118;29;0;0;12;16;1341
;77260;Longueville;141;4;1;162;53;155;74;126;25;3;1;15;23;783
;77261;Lorrez-le-Bocage-Préaux;122;4;0;212;39;133;90;100;36;6;0;16;40;798
;77262;Louan-Villegruis-Fontaine;38;0;0;83;17;54;22;50;20;0;0;11;26;322
;77263;Luisetaines;28;0;0;31;6;35;18;21;2;0;0;5;3;149
;77264;Lumigny-Nesles-Ormeaux;179;3;3;286;50;191;82;101;24;4;0;15;41;979
;77265;Luzancy;131;2;0;175;36;119;50;77;15;2;0;4;14;625
;77266;Machault;95;1;2;129;37;90;43;46;10;2;0;3;21;479
;77267;La Madeleine-sur-Loing;32;0;0;66;19;43;17;26;8;2;0;7;14;234
;77268;Magny-le-Hongre;1486;8;19;1246;342;572;257;197;31;21;0;5;50;4235
;77269;Maincy;305;6;1;305;99;173;102;87;15;5;0;14;43;1156
;77270;Maisoncelles-en-Brie;114;0;2;167;38;88;44;63;6;1;1;5;15;544
;77271;Maisoncelles-en-Gâtinais;3;3;0;26;2;22;7;11;6;2;0;7;2;91
;77272;Maison-Rouge;74;2;0;151;15;120;39;70;18;2;0;6;14;511
;77273;Marchémoret;48;2;0;105;17;63;31;32;11;0;0;3;12;325
;77274;Marcilly;54;1;0;93;17;59;24;30;3;1;1;3;11;298
;77275;Les Marêts;13;0;0;19;2;20;7;9;4;0;0;4;6;84
;77276;Mareuil-lès-Meaux;978;8;36;1064;104;278;127;127;29;17;0;9;35;2812
;77277;Marles-en-Brie;195;0;1;343;70;225;92;101;24;0;1;16;19;1087
;77278;Marolles-en-Brie;39;0;1;83;16;48;25;36;9;1;1;8;14;281
;77279;Marolles-sur-Seine;201;5;0;310;56;209;86;124;24;1;0;13;26;1055
;77280;Mary-sur-Marne;149;1;0;198;50;105;67;79;19;1;0;8;17;694
;77281;Mauperthuis;55;0;0;87;18;62;20;41;8;1;0;4;18;314
;77282;Mauregard;34;0;1;52;14;39;16;20;6;0;0;1;3;186
;77283;May-en-Multien;83;3;2;182;30;119;36;49;18;1;0;12;18;553
;77284;Meaux;5314;93;45;5957;1623;4318;2072;2485;548;60;5;186;494;23200
;77285;Le Mée-sur-Seine;1582;33;8;1772;581;1746;827;984;228;9;1;74;186;8032
;77286;Meigneux;28;0;0;39;6;28;10;20;4;1;0;3;3;144
;77287;Meilleray;40;0;0;81;15;54;22;43;14;0;0;6;12;287
;77288;Melun;3661;80;35;4313;1186;3153;1607;1953;462;107;4;158;389;17109
;77289;Melz-sur-Seine;34;1;0;62;4;41;20;20;14;0;0;8;13;217
;77290;Méry-sur-Marne;75;1;0;115;35;74;40;43;5;1;0;4;15;409
;77291;Le Mesnil-Amelot;136;2;1;403;33;77;28;58;20;11;0;7;9;785
