Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Bretagne;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;22262;Quintin;263;8;2;438;86;270;142;150;56;2;0;32;42;1492
;22263;Le Quiou;26;1;0;44;5;51;25;22;8;0;0;7;9;199
;22264;La Roche-Jaudy;236;7;1;405;77;284;139;198;71;4;0;27;62;1510
;22265;Rospez;217;6;0;332;66;223;83;137;39;1;0;22;46;1171
;22266;Rostrenen;264;7;4;472;95;370;140;225;67;6;0;35;61;1746
;22267;Rouillac;18;0;0;58;7;52;18;33;6;0;0;3;9;205
;22268;Ruca;42;1;0;107;18;78;31;49;11;0;0;4;8;350
;22271;Saint-Adrien;28;0;0;47;6;51;16;27;12;0;0;7;9;204
;22272;Saint-Agathon;300;8;1;584;99;291;102;160;53;2;0;21;40;1661
;22273;Saint-Alban;234;7;3;428;75;289;121;149;56;3;1;25;55;1448
;22274;Saint-André-des-Eaux;34;0;0;50;13;35;21;27;7;0;1;3;7;199
;22275;Saint-Barnabé;96;2;1;265;25;178;49;95;36;0;1;18;29;796
;22276;Saint-Bihy;20;2;0;50;4;29;13;17;8;1;0;2;3;149
;22277;Saint-Brandan;232;2;1;447;82;327;112;188;47;0;1;31;50;1520
;22278;Saint-Brieuc;6006;122;39;6506;1891;4241;2667;2409;626;86;9;248;782;25630
;22279;Saint-Caradec;75;1;0;207;17;130;48;111;26;2;1;17;41;675
;22280;Saint-Carné;87;0;1;187;44;149;52;74;26;1;0;26;18;664
;22281;Saint-Carreuc;115;3;1;257;28;210;67;118;49;1;0;21;30;900
;22282;Saint-Cast-le-Guildo;570;12;4;650;221;411;292;270;84;8;1;41;124;2687
;22283;Saint-Clet;87;4;0;138;29;125;54;83;24;1;0;16;23;584
;22284;Saint-Connan;22;0;0;44;7;34;15;20;6;0;0;5;7;161
;22285;Saint-Connec;24;0;0;44;6;36;11;27;9;0;0;2;5;165
;22286;Saint-Denoual;35;1;0;87;9;41;14;33;20;0;0;8;13;262
;22287;Saint-Donan;130;7;1;281;36;204;51;112;30;1;1;11;27;892
;22288;Saint-Étienne-du-Gué-de-l'Isle;24;1;0;68;7;52;18;29;8;0;0;10;10;228
