Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Grand Est;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;08347;Puilly-et-Charbeaux;13;0;0;42;7;36;11;14;6;0;0;5;11;145
;08348;Puiseux;4;0;0;21;2;20;3;8;0;0;0;1;1;61
;08349;Pure;44;1;0;124;19;85;31;36;11;0;0;3;11;366
;08350;Quatre-Champs;22;1;0;42;8;34;11;13;3;0;0;6;9;150
;08351;Quilly;9;0;0;10;1;9;1;10;1;0;0;1;0;43
;08352;Raillicourt;27;1;0;59;8;46;14;29;11;0;0;5;5;206
;08353;Rancennes;104;2;1;150;16;92;25;35;9;6;0;2;12;454
;08354;Raucourt-et-Flaba;56;0;0;160;29;97;32;57;17;0;1;9;15;474
;08355;Regniowez;36;1;0;77;12;41;11;26;5;1;0;4;5;220
;08356;Remaucourt;3;0;0;23;2;34;0;18;3;0;0;3;5;92
;08357;Remilly-Aillicourt;81;1;0;160;31;98;33;62;21;0;1;12;12;513
;08358;Remilly-les-Pothées;22;2;0;63;8;27;10;17;6;0;0;1;3;159
;08360;Renneville;14;1;0;46;2;19;6;16;8;1;0;2;5;120
;08361;Renwez;186;7;1;345;53;206;59;113;24;1;0;6;22;1024
;08362;Rethel;737;8;5;1396;228;777;314;417;123;14;1;44;119;4183
;08363;Revin;427;12;1;907;154;704;251;484;136;2;1;49;97;3225
