Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Corse;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;2B155;Matra;7;0;0;4;0;4;4;1;0;0;0;3;1;24
;2B156;Mausoléo;1;0;0;2;0;0;0;1;0;0;0;0;1;5
;2B157;Mazzola;1;0;0;5;2;2;1;1;1;0;0;0;0;13
;2B159;Meria;13;0;2;10;4;4;6;4;2;0;0;2;9;57
;2B161;Moïta;5;0;0;9;1;6;5;4;1;0;0;2;1;34
;2B162;Moltifao;68;0;0;84;27;61;34;42;8;0;0;10;16;350
;2B164;Monacia-d'Orezza;3;0;0;1;0;0;2;1;1;0;0;0;0;8
;2B165;Moncale;30;0;0;45;22;29;17;23;13;0;0;7;10;197
;2B166;Monte;43;0;0;41;10;38;21;31;8;0;0;6;8;206
;2B167;Montegrosso;61;2;0;47;24;44;38;26;8;0;0;6;12;269
;2B168;Monticello;277;2;2;275;100;192;168;132;46;1;0;34;57;1286
;2B169;Morosaglia;104;3;0;191;42;112;50;68;23;1;0;11;39;645
;2B170;Morsiglia;17;0;1;17;10;11;9;9;8;0;0;5;10;97
;2B171;Muracciole;2;0;0;5;1;4;6;1;2;0;0;1;2;24
;2B172;Murato;86;0;1;99;20;41;20;29;6;0;0;9;8;319
;2B173;Muro;33;1;1;34;20;31;27;15;9;0;0;6;7;185
;2B175;Nessa;11;0;0;12;7;6;6;6;1;0;0;1;3;54
;2B176;Nocario;14;0;0;4;3;4;4;5;1;0;0;1;2;38
;2B177;Noceta;4;0;0;4;5;2;6;1;2;0;0;1;1;26
;2B178;Nonza;6;0;0;14;0;10;10;7;1;0;0;0;0;47
;2B179;Novale;1;0;0;11;1;5;2;3;0;0;0;0;1;25
;2B180;Novella;5;0;0;13;4;5;6;7;1;0;0;0;3;44
;2B182;Occhiatana;53;0;1;32;15;13;21;13;5;0;0;2;6;161
;2B183;Ogliastro;11;0;0;13;5;4;6;6;1;0;0;3;6;55
;2B184;Olcani;6;0;0;10;1;10;2;3;1;0;0;2;2;37
;2B185;Oletta;205;2;4;214;56;127;86;86;21;0;1;30;19;852
;2B187;Olmeta-di-Capocorso;17;0;0;20;6;11;11;7;2;0;0;1;2;78
;2B188;Olmeta-di-Tuda;65;1;1;77;25;36;32;24;7;2;0;7;10;288
;2B190;Olmi-Cappella;9;0;0;24;9;16;7;10;2;0;0;3;3;84
;2B192;Olmo;12;0;0;18;4;21;13;10;3;0;0;2;1;85
;2B193;Omessa;57;0;0;113;24;62;24;28;6;0;0;10;13;338
;2B194;Ortale;2;0;0;1;0;1;1;2;1;0;0;0;0;8
;2B195;Ortiporio;6;1;0;23;3;10;6;6;2;0;0;4;0;62
;2B199;Palasca;15;0;0;9;8;12;13;10;5;0;0;3;10;86
;2B201;Pancheraccia;11;0;1;14;6;9;5;13;4;0;0;4;4;73
;2B205;Patrimonio;141;1;1;125;41;91;66;66;18;4;1;18;24;597
;2B206;Penta-Acquatella;3;0;0;3;0;5;1;3;0;0;0;0;0;15
;2B207;Penta-di-Casinca;484;3;5;532;145;346;167;234;78;2;0;53;71;2121
;2B208;Perelli;2;0;0;2;2;1;1;2;2;0;0;2;0;14
;2B210;Pero-Casevecchie;6;0;0;16;4;16;3;8;3;0;0;5;6;68
;2B213;Pianello;1;0;0;5;3;3;7;5;2;0;0;1;1;28
;2B214;Piano;3;0;0;2;1;1;0;1;0;0;0;0;2;10
;2B216;Piazzali;2;0;0;0;0;1;0;2;0;0;0;0;0;5
;2B217;Piazzole;2;0;0;7;1;4;1;4;2;0;0;1;0;22
;2B218;Piedicorte-di-Gaggio;6;1;0;8;7;8;6;9;2;0;0;0;6;54
;2B219;Piedicroce;11;0;0;13;3;8;5;5;1;0;1;2;2;52
;2B220;Piedigriggio;14;0;0;21;5;17;8;11;3;0;0;0;7;86
;2B221;Piedipartino;3;0;0;0;1;0;1;0;0;0;0;0;0;5
;2B222;Pie-d'Orezza;1;1;0;2;1;3;1;0;0;0;0;2;0;11
;2B223;Pietralba;61;1;0;74;13;53;17;31;10;1;0;5;7;274
;2B224;Pietracorbara;114;2;0;111;29;62;43;32;8;2;0;6;9;418
;2B225;Pietra-di-Verde;22;0;1;14;6;18;6;5;1;0;0;2;2;78
;2B226;Pietraserena;5;0;0;7;3;5;2;4;1;0;0;0;2;29
;2B227;Pietricaggio;5;0;0;4;0;2;2;1;0;0;0;0;2;17
;2B229;Pietroso;10;0;0;19;8;21;12;9;5;0;0;5;5;95
;2B230;Piève;17;0;0;15;8;10;13;10;4;1;0;4;3;85
;2B231;Pigna;10;0;1;14;3;15;6;7;0;0;1;1;5;64
;2B233;Pino;20;1;0;16;10;17;16;13;1;0;0;1;4;99
;2B234;Piobetta;1;0;0;3;1;5;2;2;1;0;0;1;0;16
;2B235;Pioggiola;9;0;0;9;1;7;4;3;6;0;0;0;1;40
;2B236;Poggio-di-Nazza;13;1;0;11;8;17;9;7;3;0;0;4;2;75
;2B238;Poggio-di-Venaco;23;0;0;19;7;13;10;14;6;0;0;1;3;96
;2B239;Poggio-d'Oletta;46;0;1;33;10;14;12;11;4;0;0;5;5;141
;2B241;Poggio-Marinaccio;4;0;0;5;0;3;1;2;1;0;0;1;0;17
;2B242;Poggio-Mezzana;112;1;2;108;32;80;48;54;18;0;0;18;19;491
;2B243;Polveroso;4;0;0;2;3;5;0;2;1;0;0;0;2;19
;2B244;Popolasca;1;0;0;1;1;4;2;2;0;0;0;2;1;15
;2B245;Porri;2;0;0;9;1;8;1;3;1;0;0;1;0;26
;2B246;La Porta;24;1;1;32;6;13;11;12;4;0;0;2;4;109
;2B248;Prato-di-Giovellina;7;0;0;3;5;2;2;3;1;0;0;2;2;27
;2B250;Prunelli-di-Casacconi;25;0;0;17;6;27;5;14;3;0;0;3;1;100
;2B251;Prunelli-di-Fiumorbo;430;5;2;534;151;425;214;319;118;3;1;81;89;2373
;2B252;Pruno;16;0;0;16;14;12;10;15;0;0;0;3;5;92
;2B255;Quercitello;7;0;0;5;0;3;3;2;1;0;0;0;0;21
;2B256;Rapaggio;1;0;0;2;1;1;0;0;0;0;0;0;0;5
;2B257;Rapale;16;0;0;18;5;17;8;9;5;0;0;4;2;85
;2B260;Riventosa;21;0;0;19;8;13;7;9;2;0;0;1;6;88
;2B261;Rogliano;86;0;0;91;34;38;42;32;13;1;0;7;16;359
;2B263;Rospigliani;9;0;0;6;3;6;2;4;0;0;0;2;1;34
;2B264;Rusio;3;0;0;8;0;6;7;5;1;0;0;4;2;36
;2B265;Rutali;43;1;1;43;14;34;24;20;4;0;0;6;5;196
;2B267;Saliceto;8;0;0;5;2;1;1;4;0;0;0;1;1;23
;2B273;Scata;5;0;0;6;3;5;6;3;4;0;0;0;0;33
;2B274;Scolca;16;0;0;4;4;7;3;3;0;0;0;1;0;38
;2B275;Sermano;11;0;0;10;4;6;6;5;2;0;0;1;1;46
;2B277;Serra-di-Fiumorbo;34;0;0;60;9;46;22;32;10;1;0;15;6;235
;2B280;Silvareccio;12;0;0;19;3;7;11;5;5;0;0;1;5;69
;2B281;Sisco;173;4;0;157;65;106;62;60;16;1;0;19;32;696
;2B283;Solaro;109;5;1;135;37;80;61;60;24;3;1;25;41;582
;2B286;Sorbo-Ocagnano;147;2;1;168;51;143;62;99;27;2;0;20;30;752
;2B287;Sorio;8;0;0;11;2;7;5;3;0;0;0;0;2;38
;2B289;Soveria;12;0;0;22;4;13;6;10;2;0;0;1;5;76
;2B290;Speloncato;33;0;0;29;9;24;18;19;8;0;0;9;6;155
;2B291;Stazzona;0;0;0;4;2;1;3;3;1;0;0;0;1;15
;2B292;Sant'Andréa-di-Bozio;8;2;0;7;4;4;5;1;2;0;0;2;1;37
;2B293;Sant'Andréa-di-Cotone;27;0;0;32;9;23;9;16;2;0;0;4;5;129
;2B296;Sant'Antonino;5;0;0;14;3;13;3;13;1;0;0;0;4;56
;2B297;San-Damiano;7;0;0;11;0;5;2;3;2;0;0;2;4;36
;2B298;Saint-Florent;298;4;5;303;138;177;143;133;34;2;0;34;55;1324
;2B299;San-Gavino-d'Ampugnani;4;0;0;15;6;6;1;8;2;0;0;4;5;51
