Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Bourgogne-Franche-Comté;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;21306;Grenant-lès-Sombernon;10;1;1;40;4;30;7;24;7;0;0;0;7;131
;21307;Grésigny-Sainte-Reine;17;0;0;22;6;16;6;15;5;0;0;4;5;97
;21308;Grignon;16;0;0;42;6;20;7;18;5;1;0;2;8;127
;21309;Griselles;7;0;0;14;5;22;5;8;3;0;0;0;4;68
;21310;Grosbois-en-Montagne;11;1;0;14;2;18;8;5;2;0;1;2;4;69
;21311;Grosbois-lès-Tichey;4;0;0;8;2;10;4;7;2;0;0;3;1;42
;21312;Gurgy-la-Ville;3;0;1;5;1;4;1;1;1;0;0;2;0;19
;21313;Gurgy-le-Château;0;0;0;9;1;5;2;4;1;0;0;0;6;28
;21314;Hauteroche;2;0;0;11;2;14;6;9;2;0;0;2;2;50
;21315;Hauteville-lès-Dijon;254;2;1;202;70;125;60;42;13;7;0;7;32;816
;21316;Heuilley-sur-Saône;27;0;0;57;8;34;15;30;7;1;0;4;10;193
;21317;Is-sur-Tille;438;8;0;712;149;444;239;323;86;9;0;51;79;2537
;21319;Izeure;94;0;0;208;33;102;49;74;14;1;0;7;13;596
;21320;Izier;106;2;0;151;36;89;42;44;13;1;1;7;20;514
