Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Hauts-de-France;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;02241;La Croix-sur-Ourcq;8;0;0;21;4;12;0;8;0;0;0;0;4;57
;02242;Crouttes-sur-Marne;51;0;1;98;31;73;39;46;10;3;0;9;22;382
;02243;Crouy;341;3;1;481;103;333;139;179;43;2;1;19;60;1705
;02244;Crupilly;5;0;0;7;1;10;2;3;1;0;0;0;2;31
;02245;Cuffies;229;3;2;243;72;165;105;72;21;2;0;10;33;958
;02246;Cugny;45;2;1;111;12;80;20;40;24;0;0;10;12;359
;02248;Cuirieux;6;1;0;30;2;18;5;14;4;0;0;1;0;81
;02249;Cuiry-Housse;10;1;0;18;1;13;3;5;2;0;0;3;0;56
;02250;Cuiry-lès-Chaudardes;6;0;0;14;1;8;2;4;1;0;0;2;0;38
;02251;Cuiry-lès-Iviers;4;0;0;3;0;2;3;0;1;0;0;0;1;14
;02252;Cuissy-et-Geny;3;0;0;13;2;10;0;4;1;0;0;0;1;35
;02253;Cuisy-en-Almont;41;3;0;78;16;42;10;25;6;0;0;2;6;229
;02254;Cutry;10;0;0;31;6;16;6;7;0;1;0;2;2;81
;02255;Cys-la-Commune;9;0;0;34;5;18;8;11;6;0;0;3;2;96
;02256;Dagny-Lambercy;7;2;0;18;2;10;2;15;3;0;0;4;2;65
;02257;Dallon;65;0;0;81;18;41;20;21;6;0;0;5;8;265
;02258;Dammard;27;0;0;59;6;63;17;48;9;0;0;5;11;245
;02259;Dampleux;51;1;0;93;15;54;16;32;8;0;0;7;9;287
;02260;Danizy;40;2;0;100;16;65;30;43;11;1;0;5;10;324
;02261;Dercy;29;0;0;69;8;63;20;32;7;0;0;7;10;246
;02262;Deuillet;20;0;0;46;9;34;11;20;6;0;0;4;9;159
;02263;Dhuizel;7;1;3;14;1;20;7;6;3;0;0;1;3;67
;02264;Dizy-le-Gros;39;0;1;157;8;85;27;55;20;0;0;13;10;415
;02265;Dohis;5;0;0;14;1;12;5;5;4;0;0;2;3;52
;02266;Dolignon;2;0;1;12;3;7;4;2;2;0;0;1;1;35
;02267;Dommiers;30;0;1;56;5;42;7;25;2;0;1;5;8;183
;02268;Domptin;60;2;0;124;21;73;41;44;12;2;0;6;14;399
;02269;Dorengt;9;0;0;23;5;18;5;10;5;0;0;3;2;81
;02270;Douchy;9;0;0;23;4;20;5;10;6;0;0;0;11;88
;02271;Dravegny;11;0;0;22;3;14;7;9;3;0;0;1;1;72
;02272;Droizy;5;0;0;21;1;16;3;7;2;0;0;0;1;57
;02273;Dury;26;0;0;36;4;22;10;12;12;0;0;2;2;128
;02274;Ébouleau;13;0;0;41;4;19;9;15;5;0;0;3;4;113
;02275;Effry;22;3;0;44;8;27;13;30;13;0;0;4;6;170
;02276;Englancourt;9;0;0;28;3;16;2;12;7;0;0;3;2;82
;02277;Épagny;25;0;0;61;9;33;12;24;7;0;0;8;3;182
;02278;Éparcy;10;0;0;5;2;6;2;3;1;0;0;0;1;30
;02279;Épaux-Bézu;67;1;0;154;23;64;28;34;8;1;0;8;12;401
;02280;Épieds;38;1;0;73;17;41;17;40;13;3;0;9;8;261
;02281;L'Épine-aux-Bois;17;0;0;36;8;44;13;26;5;1;0;6;6;162
;02282;Eppes;38;0;0;88;12;51;23;34;12;0;0;5;6;268
;02283;Erlon;25;0;0;71;10;44;15;23;7;0;0;0;6;201
;02284;Erloy;5;0;0;17;3;11;2;9;3;0;0;4;6;60
;02286;Esquéhéries;75;1;0;150;20;91;52;82;26;0;0;11;23;531
;02287;Essigny-le-Grand;128;4;2;289;33;138;45;53;11;3;0;6;22;735
;02288;Essigny-le-Petit;26;1;0;78;12;51;13;26;6;2;0;0;4;220
;02289;Essises;47;0;1;78;9;45;19;33;14;1;0;8;7;262
;02290;Essômes-sur-Marne;343;3;1;424;109;266;147;176;51;1;1;23;55;1601
;02291;Estrées;31;0;0;79;7;45;23;29;12;0;0;1;12;240
;02292;Étampes-sur-Marne;167;0;0;189;54;159;72;73;18;0;1;10;17;760
;02293;Étaves-et-Bocquiaux;61;0;1;86;15;63;29;35;16;0;0;5;12;322
;02294;Étouvelles;25;0;1;65;7;19;14;10;6;0;0;0;3;151
;02295;Étréaupont;57;1;0;147;15;101;37;65;26;0;0;15;16;480
;02296;Étreillers;130;4;0;228;53;128;50;54;24;3;0;18;15;709
;02297;Étrépilly;12;0;0;20;8;12;10;4;5;0;0;7;5;84
;02298;Étreux;126;3;1;221;49;179;70;113;45;0;0;25;30;861
;02299;Évergnicourt;46;2;0;111;19;70;24;44;11;0;0;9;9;346
;02302;Faverolles;35;1;0;72;7;52;7;23;7;1;0;9;7;223
;02303;Fayet;137;5;0;164;35;65;31;21;3;2;1;3;17;484
;02304;La Fère;172;4;1;320;57;223;121;155;34;2;0;27;43;1158
;02305;Fère-en-Tardenois;246;2;1;441;77;270;135;216;59;3;0;26;84;1560
;02306;La Ferté-Chevresis;31;1;0;98;12;55;30;47;17;0;1;14;15;322
;02307;La Ferté-Milon;176;9;0;319;63;257;96;151;36;1;1;24;43;1176
;02308;Fesmy-le-Sart;36;1;0;83;10;62;17;51;20;0;0;6;8;295
;02309;Festieux;53;1;0;129;17;70;17;42;10;0;0;6;10;355
;02310;Fieulaine;24;0;0;61;5;29;8;19;6;0;0;3;6;162
;02311;Filain;10;0;0;36;4;18;6;5;0;0;0;0;2;81
;02312;La Flamengrie;89;2;1;185;28;131;58;89;29;0;0;13;21;646
;02313;Flavigny-le-Grand-et-Beaurain;26;1;0;82;7;51;9;31;13;0;0;5;14;239
;02315;Flavy-le-Martel;129;3;0;266;44;179;66;103;38;0;0;24;37;888
;02316;Fleury;17;0;0;33;5;23;8;9;9;0;0;1;2;108
;02317;Fluquières;29;1;0;45;8;16;7;10;7;0;0;1;5;129
;02318;Folembray;109;2;0;229;38;167;71;118;33;2;0;13;35;819
;02319;Fonsomme;40;0;0;82;20;59;10;42;9;1;0;4;8;276
;02320;Fontaine-lès-Clercs;42;1;0;54;12;35;13;20;6;0;0;1;4;188
;02321;Fontaine-lès-Vervins;87;3;2;208;18;89;33;72;25;0;0;13;21;570
;02322;Fontaine-Notre-Dame;37;2;0;90;9;38;19;32;10;1;1;4;5;248
;02323;Fontaine-Uterte;8;0;0;37;0;17;6;12;2;0;0;3;3;88
