Parc de voitures par vignette Crit'air et énergie au 01/01/2020;;;;;;;;;;;;;;;;
Région : Occitanie;;;;;;;;;;;;;;;;
Source : SDES, RSVERO;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;Crit'Air 1;;;Crit'Air 2;;Crit'Air 3;;Crit'Air 4;Crit'Air 5;Electriques;Non classés;;;Total
;;;Essence;Gaz;"Hybride
rechargeable";Diesel;Essence;Diesel;Essence;Diesel;Diesel;"Electrique
et
Hydrogène";"Autres
énergies";Diesel;Essence;
;09305;Tabre;45;0;0;83;12;52;12;29;10;0;0;11;9;263
;09306;Tarascon-sur-Ariège;224;2;1;491;86;325;156;255;80;6;0;74;90;1790
;09307;Taurignan-Castet;15;0;1;32;2;23;11;22;7;0;0;8;9;130
;09308;Taurignan-Vieux;26;0;0;35;7;34;11;23;7;0;0;9;10;162
;09309;Teilhet;11;1;0;33;3;19;8;25;5;0;0;2;10;118
;09310;Thouars-sur-Arize;5;0;0;13;0;6;6;3;0;0;0;1;1;36
;09311;Tignac;0;0;0;2;1;2;2;0;0;0;0;1;0;8
;09312;La Tour-du-Crieu;376;6;3;629;127;404;136;206;66;4;1;34;63;2056
;09313;Tourtouse;9;0;0;18;10;20;5;16;13;0;1;9;8;110
;09314;Tourtrol;28;0;0;62;6;34;17;21;13;1;0;9;6;198
;09315;Trémoulet;8;0;0;16;1;17;7;14;2;1;0;1;3;70
;09316;Troye-d'Ariège;3;0;0;21;5;14;4;10;3;0;0;2;4;67
;09318;Unac;13;0;0;36;4;20;5;11;3;0;0;2;3;97
;09319;Unzent;8;2;1;16;1;14;4;16;2;0;0;0;5;69
;09320;Urs;4;1;0;5;2;6;2;3;1;0;0;0;3;28
;09321;Ussat;41;0;0;64;8;39;22;30;7;1;0;4;15;232
;09322;Ustou;21;3;0;45;6;36;16;30;10;0;0;14;11;193
;09323;Vals;14;1;1;16;4;6;2;6;1;0;0;3;3;57
;09324;Varilhes;389;8;2;621;126;398;175;250;71;6;3;53;98;2200
